Channel_1,Channel_2,Channel_3,Channel_4
803.0403,798.60803,810.696,791.3553
780.87915,801.4286,797.8022,770
761.53845,797.8022,787.72894,751.4652
772.4176,798.20514,787.72894,757.50916
781.28204,799.81683,795.78754,769.59705
766.77655,799.41394,801.02563,755.4945
761.9414,799.41394,799.81683,743.4066
775.2381,801.8315,802.6374,748.24176
778.46155,802.6374,802.23444,748.24176
773.22345,799.81683,803.0403,752.674
791.75824,804.65204,799.41394,767.5824
778.0586,803.0403,800.2198,770.80585
776.04395,809.0842,799.41394,761.53845
776.04395,799.81683,801.4286,754.2857
790.54944,813.1135,796.1905,754.68866
794.17584,801.4286,800.6227,784.5055
778.86444,807.8755,801.4286,772.4176
779.67035,810.293,800.2198,769.59705
786.9231,804.2491,801.4286,777.25275
777.6557,804.65204,801.02563,771.6117
788.1319,803.8461,801.8315,789.34064
796.5934,797.3993,803.44324,784.90845
801.4286,794.17584,805.8608,776.8498
799.41394,794.9817,805.05493,765.56775
788.1319,801.8315,803.8461,769.59705
785.7143,803.8461,803.0403,773.6264
792.5641,804.65204,802.23444,778.0586
790.9524,804.2491,804.65204,785.31134
801.8315,801.8315,807.8755,776.04395
802.23444,800.2198,811.0989,786.1172
797.8022,806.26373,808.68134,790.9524
803.44324,810.696,809.0842,774.43225
803.0403,805.8608,807.0696,780.87915
807.47253,797.8022,810.696,778.0586
794.17584,811.0989,805.05493,775.64105
783.69965,801.02563,800.6227,768.3883
784.10254,800.6227,800.6227,778.0586
787.326,805.05493,802.6374,776.04395
791.3553,804.65204,802.6374,773.6264
783.2967,802.6374,803.0403,787.326
785.7143,803.0403,801.8315,770.40295
781.685,803.8461,804.65204,774.83514
789.7436,804.2491,806.6667,781.685
788.5348,803.8461,804.65204,780.07324
784.90845,805.4579,803.44324,774.83514
791.3553,806.6667,806.6667,776.8498
791.3553,804.65204,809.0842,784.90845
789.34064,806.26373,809.0842,786.52014
799.81683,811.0989,809.89014,796.99634
806.6667,809.0842,807.8755,788.93774
796.99634,803.44324,804.2491,767.5824
